param,level,n_robots,seed,steps,success_rate,steps_mean,total_dist_mean,max_dist_mean,jain_mean
potential_coef,0.1,4,0,200000,0.77,178.62,407.41,116.4,0.9814056256674943
potential_coef,0.25,4,0,200000,0.8,150.11,344.92,99.61,0.9835140690154678
potential_coef,0.5,4,0,200000,0.88,117.0,279.3,78.93,0.9857242208915075
potential_coef,1.0,4,0,200000,0.91,108.0,258.07,73.64,0.9819425796730392
potential_coef,2.0,4,0,200000,0.94,95.75,235.74,67.29,0.9834094388380297
step_cost,-0.5,4,0,200000,0.91,112.6,271.9,78.14,0.9811621590944121
step_cost,-0.2,4,0,200000,0.9,122.99,289.34,82.46,0.9833765162517633
step_cost,-0.1,4,0,200000,0.88,117.0,279.3,78.93,0.9857242208915075
step_cost,-0.05,4,0,200000,0.9,116.67,291.41,82.02,0.985874897592613
step_cost,0.0,4,0,200000,0.93,117.44,278.92,78.14,0.9844210149086766
collide_obstacle,-20.0,4,0,200000,0.9,142.99,319.86,92.36,0.9785717491074721
collide_obstacle,-10.0,4,0,200000,0.9,129.93,296.56,85.73,0.9810173042728552
collide_obstacle,-5.0,4,0,200000,0.88,117.0,279.3,78.93,0.9857242208915075
collide_obstacle,-1.0,4,0,200000,0.93,99.61,242.81,69.39,0.9831426273451142
collide_obstacle,0.0,4,0,200000,0.91,97.35,231.93,67.09,0.977243030816591
collide_robot,-20.0,4,0,200000,0.66,204.9,516.12,143.34,0.9892137715595709
collide_robot,-10.0,4,0,200000,0.88,140.55,346.81,98.31,0.9847208264171526
collide_robot,-5.0,4,0,200000,0.88,117.0,279.3,78.93,0.9857242208915075
collide_robot,-1.0,4,0,200000,0.95,110.99,267.01,76.32,0.9825776735593655
collide_robot,0.0,4,0,200000,0.89,113.21,269.47,76.65,0.9809427536686331
potential_coef,0.1,3,0,200000,0.97,76.75,143.8,53.43,0.9840111811356546
potential_coef,0.25,3,0,200000,1.0,54.31,107.22,39.98,0.9821290373948631
potential_coef,0.5,3,0,200000,0.98,59.58,108.99,41.33,0.9782581108550157
potential_coef,1.0,3,0,200000,1.0,53.87,104.12,39.33,0.9772447179636256
potential_coef,2.0,3,0,200000,1.0,51.74,96.8,36.39,0.9788991342607254
step_cost,-0.5,3,0,200000,0.98,60.65,112.41,43.11,0.9760782643294472
step_cost,-0.2,3,0,200000,0.99,52.68,97.36,36.73,0.9797201486235164
step_cost,-0.1,3,0,200000,0.98,59.58,108.99,41.33,0.9782581108550157
step_cost,-0.05,3,0,200000,0.99,52.75,99.11,37.11,0.9807336941384348
step_cost,0.0,3,0,200000,1.0,48.15,94.06,35.98,0.9780039716142768
collide_obstacle,-20.0,3,0,200000,0.98,94.2,166.79,62.51,0.9821509101359576
collide_obstacle,-10.0,3,0,200000,0.98,73.22,131.49,49.57,0.9795188197530815
collide_obstacle,-5.0,3,0,200000,0.98,59.58,108.99,41.33,0.9782581108550157
collide_obstacle,-1.0,3,0,200000,1.0,53.41,100.25,38.26,0.9750948544164085
collide_obstacle,0.0,3,0,200000,0.99,50.25,92.36,35.18,0.976535722961121
collide_robot,-20.0,3,0,200000,0.96,76.82,144.86,55.22,0.9775333135353215
collide_robot,-10.0,3,0,200000,0.99,65.85,123.92,47.01,0.9796387146977836
collide_robot,-5.0,3,0,200000,0.98,59.58,108.99,41.33,0.9782581108550157
collide_robot,-1.0,3,0,200000,0.99,56.49,104.14,40.28,0.9728126452247249
